"name","value","description","suffix","status","status"
"AC Adaptor","","AC adapter is an external power supply used with devices that run on batteries or have no other power source. AC adapters help reduce the size of a laptop computer by alleviating the need for a standard sized power supply.",NULL,"Active",NULL
"Aksesoris","","If the product has an additional accessories, than it can be defined",NULL,"Active",NULL
"Kapasitas ADF","[\"200\"]","Automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier","ADF","Active",NULL
"Tray ADF?","[\"Yes \",\" No\"]","Indicates if there exists an ADF Tray or not",NULL,"Active",NULL
"Kelompok Usia","[\"0-3 Bulan\",\" 4-6 Bulan\",\" 7-12 Bulan\",\" 1-2 Tahun\",\" 3-4 Tahun\",\" 5-6 Tahun\",\" 7-10 Tahun\",\" 11 Tahun+\",\" Semua Umur\"]","Recommended age for toys & baby products",NULL,"Active",NULL
"Persentase Alkohol","[\"0.2\"]","Alcohol Percentage (%)",NULL,"Active",NULL
"Jumlah Antena","[\"2\",\" 4\"]","Number of antennas",NULL,"Active",NULL
"Apperture","[\"3.5\",\" 5.6 \"]","Apperture of the camera lens",NULL,"Active",NULL
"Artis","","Artist of the music",NULL,"Active",NULL
"Fitur Audio","","Audio features of device",NULL,"Active",NULL
"Format Audio","","Format of the speaker",NULL,"Active",NULL
"Pengarang","","Author of a book",NULL,"Active",NULL
"Berat Bayi","[\"0-4 kg\",\" 4-6 kg\",\" 6-12 kg\",\" >12 kg\"]","Baby Weight","","Active",NULL
"Jenis Bola","[\"Indoor\",\" Outdoor\",\" Indoor & Outdoor\",\" Newcomb\",\" Beach\"]","Type of the ball",NULL,"Active",NULL
"Baterai","[\"12.6\"]","Battery capacity of truck","Volts","Active",NULL
"Kapasitas Baterai","[\"2000\"]","Maximum total electric charge that can be stored within the battery (mHa)","mHa","Active",NULL
"Usia Baterai","","How long a device can work on a single charge of a rechargeable batter",NULL,"Active",NULL
"Ukuran Baling-baling Kipas","[\"25\",\" 29\",\" 50\"]","Size of fan's blade","inches","Active",NULL
"Blower?","[\"Yes\",\" No\"]","Indicates if vacuum has a blower",NULL,"Active",NULL
"Bluetooth?","[\"Yes\",\" No\"]","Indicates if bluetooth is included or not",NULL,"Active",NULL
"Body Only?","[\"Yes\",\" No\"]","Indicates if the DSLR is body only",NULL,"Active",NULL
"Built In Microphone?","[\"Yes \",\" No\"]","Indicates if the Microphone is built into the device or not",NULL,"Active",NULL
"Panjang Kabel","[\"50\"]","Length of headphone's cable","cm","Active",NULL
"Jenis Kabel","[\"Twisted\",\" Straight\",\" Long Straight\"]","Type of headphone's cable",NULL,"Active",NULL
"Sumber Daya Kalkulator","[\"Battery\",\" Solar\",\" Battery & Solar\",\" Other\"]","Power source of the calculator",NULL,"Active",NULL
"Aksesoris Tambahan Kamera","[\"1GB memory card\",\" 2GB memory card\",\" 4GB memory card\",\" 8GB memory card\",\" 16GB memory card\",\" 32GB memory card\",\" 64GB memory card\",\" Flash\",\" Monopod\",\" Tripod\",\" Camera Bag\"]","List of the main accessories included in the camera set",NULL,"Active",NULL
"Resolusi Kamera Belakang","[\"4.8\"]","Resolution of the back camera","Megapixels","Active",NULL
"Resolusi Kamera Depan","[\"4.8\"]","Resolution of the front camera","Megapixels","Active",NULL
"Kapasitas","","Capacity of a product",NULL,"Active",NULL
"Chipset","","Chipset of a handphone",NULL,"Active",NULL
"Kapasitas Air Dingin Dispenser","[\"3\",\" 4\",\" 5\"]","Cold water capacity of dispenser","Litre","Active",NULL
"Daya Air Dingin Displenser","[\"100\"]","Wattage of cold water's dispenser","W","Active",NULL
"Kompatibel Dengan Model","","Models with which the device is compatible with (specifc model of phone or tablet)",NULL,"Active",NULL
"Rasio Compression","","Engine's compression ratio",NULL,"Active",NULL
"Kondisi","[\"New\",\" Refurbish\"]","State of the device",NULL,"Active",NULL
"Konfigurasi Lemari Es","[\"Compact\",\" Freezer on Top\",\" Freezer on Bottom\",\" French Door\",\" Side by Side\",\" Freezerless\"]","Refrigerator configuration",NULL,"Active",NULL
"Konektivitas","[\"USB 2.0\",\" USB 3.0\",\" USB 4.0\",\" Wireless\",\" LAN\",\" E-print\",\" Bluetooth\",\" Infrared\",\" Air Print\",\" PS2\"]","Connection type",NULL,"Active",NULL
"Kecepatan Konektivitas","[\"1000\"]","The speed with which data can be transmitted from one device to another (GHz)","GHz","Active",NULL
"Mode Memasak","[\"Cook\",\" One Touch Cook\"]","Cooking modes of the microwave/oven",NULL,"Active",NULL
"Kapasitas Penyejuk","[\"18000\"]","The amount of chill/cold generated by the air conditioner (in BTU/hour)","BTU/h","Active",NULL
"Resolusi Mono Copy","","The output resolution of the printer for mono copying mode.",NULL,"Active",NULL
"Panjang Kabel","[\"5\"]","Length of the vacuum cleaner's cable","Meter","Active",NULL
"Merk CPU","","Specify the processor type of the product",NULL,"Active",NULL
"Kecepatan CPU","[\"30\"]","Specify the processor speed in GHz for the product","GHz","Active",NULL
"Kebutuhan Diet","[\"Allergy\",\" Gluten Free\",\" Sugar Free\",\" Lactose Free\",\" Speciality\",\" Organic\"]","Dietary Requirements",NULL,"Active",NULL
"Fungsi Dispenser","[\"Cold\",\" Hot\",\" Normal\"]","Functionality of the dispenser",NULL,"Active",NULL
"Fitur Layar","[\"Full HD\",\" HD\",\" 3D\",\" Anti Glare\",\" Gorilla Glass\",\" AMOLED\",\" Super AMOLED\",\" Retina Display\",\" Ultra HD\",\" LCD\"]","Specify the type of display",NULL,"Active",NULL
"Ukuran Layar","[\"47\"]","Specify the size of the display in inch","inches","Active",NULL
"Pintu","[\"1\",\"2\",\"3\",\"4\",\"5\"]","Total doors of the refrigerator",NULL,"Active",NULL
"Volume Air Minum","[\"0.15\"]","Amount of one time touch","Litre","Active",NULL
"Sistem Kemudi","","Drive system of cars",NULL,"Active",NULL
"Cetak Duplex?","[\"Yes\",\" No\"]","Indicates if the printer has double-sided printing function",NULL,"Active",NULL
"Kapasitas Debu","[\"5\"]","Maximum dust holding capacity the vacuum cleaner can handle","Litre","Active",NULL
"Jenis Edisi","[\"Regular edition\",\" Special edition\",\" Annual edition\",\" Collection editor\"]","Type of edition a magazine is",NULL,"Active",NULL
"Indikator Tangki Kosong?","[\"Yes\",\" No\"]","Coffee machine indicator",NULL,"Active",NULL
"Kapasitas Mesin","","Engine capacity of a vehicle",NULL,"Active",NULL
"Jenis Mesin","","Engine type of a vehicle",NULL,"Active",NULL
"Penyimpanan Ekstrenal","","maximum capacity of device's external storage",NULL,"Active",NULL
"Rasa","[\"Fruit\",\" Fruity\",\" Chocolate\",\" Caramel\",\" Honey\",\" Mocha\",\" Neutral\",\" Pepermint\",\" Vanilla\",\" Other\"]","Flavour of food/drink",NULL,"Active",NULL
"Panjang Focal","","The focal length of the lens is the distance between the lens and the image sensor when the subject is in focus, usually stated in millimeters",NULL,"Active",NULL
"Format","[\"Blu Ray\",\" DVD\",\" CD\",\" MP3\",\" VCD\",\" HD ROM\",\" SVCD\"]","Format of the media",NULL,"Active",NULL
"Jenis","[\"Titanium\",\" Magnesium\",\" Carbon Fibre\"]","Type of motorbikes frame",NULL,"Active",NULL
"Respon Frekuensi","[\"2000\"]","Frequency response is the quantitative measure of the output spectrum of a system or device in response to a stimulus, and is used to characterise the dynamics of the system. It is a measure of magnitude and phase of the output as a function of frequency,",NULL,"Active",NULL
"Kapasitas Tangki Bahan Bakar","[\"10\"]","Capacity of car's fuel tank","Litre","Active",NULL
"Fungsi Scanner","[\"Scan\",\" Scan to Email\",\" Scan to Network Folder\"]","Functionality of the scanner",NULL,"Active",NULL
"Graphic Card","","A graphics card is the device inside a computer that interprets graphics signals from the motherboard and sends them to the monitor, which is plugged into the graphics card. On a graphics card, the chipset is the flat circuitry-board part that is attached",NULL,"Active",NULL
"Memori Grafis","","Graphics Memory",NULL,"Active",NULL
"Ukuran HDD","[\"564\"]","Specify the size of the harddrive in GB","GB","Active",NULL
"Jenis Headphone","[\"In-Ear\",\" On-Ear\",\" Over the Ear\"]","Type of headphone",NULL,"Active",NULL
"Kapasitas Air Panas Dispenser","[\"3\",\" 4\",\" 5\"]","Hot water capacity of dispenser","Litre","Active",NULL
"Daya Air Panas Dispenser","[\"100\"]","Number of hot water wattage","W","Active",NULL
"Impedence","","The property of a speaker that restricts the flow of electrical current through it (ohm)","ohm","Active",NULL
"Warna Tinta","[\"Black\",\" Red\",\" Green\",\" Mix\",\" Other\"]","Ink color of a stationery",NULL,"Active",NULL
"Channel Input","[\"4\",\" 8\",\" 10\"]","Total input channels mixer has",NULL,"Active",NULL
"Kapasitas Tray Input","[\"1500\"]","The number of papers the input tray can handle",NULL,"Active",NULL
"Jenis Input","[\"Mini USB\",\" USB\",\" VGA\",\" HDMI\",\" Jack\",\" Memory Card Slot\"]","Input Type",NULL,"Active",NULL
"Tegangan Input","[\"1.5\"]","input voltage","V","Active",NULL
"Jenis Instalasi","[\"Self Installation\",\" CD\"]","Type of installation methodology",NULL,"Active",NULL
"Inverter?","[\"Yes\",\" No\"]","Indicate if air conditioner has inverter",NULL,"Active",NULL
"Port IO","","input/output is the communication between a computer and the outside world, possibly another information processing system. Inputs are the signals or data received by the system and outputs are the signals or data sent from it.",NULL,"Active",NULL
"ISBN/ ISSN","","The ISBN/ISSN of a book",NULL,"Active",NULL
"ISO Rating","","ISO Rating",NULL,"Active",NULL
"Ukuran Jack","[\"2.5mm\",\" 3.5mm\"]","diameter of input jack",NULL,"Active",NULL
"Kapasitas Jug","[\"5\"]","Capacity of Jug","Litre","Active",NULL
"Label","","Label that the music is produced under",NULL,"Active",NULL
"Bahasa","","Language that the book comes in",NULL,"Active",NULL
"Lens Kit Termasuk?","[\"Yes\",\" No\"]","Indicates if Lens Kit is included with the DSLR",NULL,"Active",NULL
"Model Lensa","","Lens Model",NULL,"Active",NULL
"Pembesaran","","How many times closer an object will appear when looking through the binocular/monoculr/telescope compared to looking at the same object with the naked eye",NULL,"Active",NULL
"Maksimum Resolusi Cetak Warna","","The output resolution of the printer for color printing mode. It refers to the physical dot density of an image when it is printed onto paper.",NULL,"Active",NULL
"Maksimum Resolusi Cetak Mono","","The output resolution of the printer for mono printing mode. It refers to the physical dot density of an image when it is printed onto paper.",NULL,"Active",NULL
"Maksimum Brightness","","Maximum brightness of computer monitors",NULL,"Active",NULL
"Kapasitas Ukuran Kertas","[\"Letter\",\" A4\",\" A3\",\" A3+\",\" A2\",\" A1\",\" A0\",\" B5\",\" Recycled Paper\",\" Bond Paper\",\" Photo Paper\",\" Auto Duplexing\"]","Size of the paper that can be used in the printer",NULL,"Active",NULL
"Megapiksel ","[\"10\"]","For the camera, enter the number of megapixels here","megapixels","Active",NULL
"Jenis Kartu Memori","[\"Micro SDHC\",\" Nano SD\",\" Eye fi\",\" Memory stick\",\" compact flash\",\" MMC\",\" SDHC\",\" SDXC\",\" Micro SD\",\" SD\"]","Type of memory card (if device has external storage)",NULL,"Active",NULL
"Motion Rate","[\"120\"]","Refresh rate of television","Hz","Active",NULL
"Jenis Mounting","","Mounting type of the Printer, Monitor",NULL,"Active",NULL
"Movement Arloji","[\"Mechanical Automatic\",\" Mechanical\",\" Mechanical Manual\",\" Quartz Digital\",\" Quartz Analog\",\" Quartz\"]","Watch's movement type",NULL,"Active",NULL
"Jaringan","[\"GMS\",\" 2G\",\" 3G\",\" 3.5G\",\" 4G\",\" Dual Band\",\" Quad Band\",\" EVDO\",\" UMTS\",\" HSPA+\",\" LTE\"]","Type of network connectivity",NULL,"Active",NULL
"Hubungan Jaringan","[\"2G\",\" 3.5G\",\" 3G\",\" 4G\",\" Dual Band\",\" EVDO\",\" GMS\",\" HSPA+\",\" LAN\",\" LTE\",\" Quad Band\",\" UMTS\"]","Network Connections of the device",NULL,"Active",NULL
"Sistem No Frost?","[\"Yes\",\" No\"]","Indicates if refrigerator has no frost system",NULL,"Active",NULL
"Noise Cancellation?","[\"Yes\",\" No\"]","Indicates if the headphone has noise cancellation function",NULL,"Active",NULL
"Noise Level","[\"10\"]","Noise produced from the product when operating","dB","Active",NULL
"Jumlah Tungku","[\"3\"]","Total burner of the stove",NULL,"Active",NULL
"Jumlah Disc","[\"2\",\" 3\"]","Number of discs in package",NULL,"Active",NULL
"Jumlah Hob","[\"1\",\" 2\",\" 3\",\" 4\",\" 4+\"]","Number of hobs",NULL,"Active",NULL
"Jumlah Halaman","","Total pages of a book",NULL,"Active",NULL
"Jumlah Pemain","[\"1-2\",\" 1-3\",\" 2-3\",\" 1-4\",\" 2-4\",\" 1-5\",\" 2-5 1-6+\",\" 2-6+\"]","Number of players of a game",NULL,"Active",NULL
"Jumlah Rak","[\"1\",\"2\",\"3\"]","Number of rack in refrigerator",NULL,"Active",NULL
"Jumlah Gigi Kecepatan","[\"1 Speed\",\" 2-9 Speed\",\" 10-19 Speed\",\" 20-24 Speed\",\" 25-30 Speed\"]","Total speeds of bicycle",NULL,"Active",NULL
"Sistem Operasi","[\"Windows\",\" Symbian\",\" Linux\",\" Mac OS X\\u00a0\",\" Android\",\" iOS\",\" No OS\",\" Other\"]","Enter the operating system of the product",NULL,"Active",NULL
"Versi Sistem Operasi","","Operating System Version",NULL,"Active",NULL
"Optical Drive","","Type of optical drive",NULL,"Active",NULL
"Optical Zoom","[\"5\"]","If the product has a camera, than it can be defined which magnification factor the optical zoom has",NULL,"Active",NULL
"Kompatibel Dengan OS","[\"Windows\",\" Symbian\",\" Linux\",\" Mac OS X\\u00a0\",\" Android\",\" iOS\",\" No OS\",\" Other\"]","Compatible Operating System",NULL,"Active",NULL
"Channel Output","[\"4\",\" 8\",\" 10\"]","Total output channels mixer has",NULL,"Active",NULL
"Kapasitas Tray Output","","The number of papaers the output tray can handle",NULL,"Active",NULL
"Overheat Control?","[\"Yes\",\" No\"]","Indicates if the machine has overheat control function",NULL,"Active",NULL
"Jenis Kertas","","Suitable paper size for the printer",NULL,"Active",NULL
"Ukuran Kertas","[\"A0\",\" A1\",\" A2\",\" A3\",\" A4\",\" A5\",\" A6\",\" A7\",\" Other\"]","Type of papers",NULL,"Active",NULL
"Kompatibilitas Telepon","","Phone compatibility",NULL,"Active",NULL
"Kompatibel Dengan Telepon","","Phone brand/model that the device is compatible with",NULL,"Active",NULL
"Ukuran Gambar","","Dimensions of the picture so that customers can consider if it fits their houses - can be width x height for square and rectangular pictures, diameter for oval/round pictures, and any other suitable measurements.",NULL,"Active",NULL
"Jumlah Port","","number (indicate for # of LAN ports), number (indicate for # of WAN ports)",NULL,"Active",NULL
"Sumber Daya","","Power source of the product",NULL,"Active",NULL
"Suplai Daya","[\"AC Plug\",\" Battery\",\" Cable\"]","Type of power supply medium",NULL,"Active",NULL
"Kapasitas Powerbank","[\"8400\"]","Capacity of a powerbank (mAh)",NULL,"Active",NULL
"Kecepatan Cetak","[\"10\"]","Speed of printer (page per minutes)","PPM","Active",NULL
"Fitur Cetak","","List of functions the multifunctional printer can do",NULL,"Active",NULL
"Jenis Produk","[\"Powder\",\" Liquid\",\" Gel\",\" Cream\",\" Spray\",\" Stick\"]","The form that the products comes in",NULL,"Active",NULL
"Tanggal Cetak","","Date of publishing",NULL,"Active",NULL
"Penerbit","","Publisher of a book",NULL,"Active",NULL
"Racquet Balance","[\"Head heavy\",\" Even balance\",\" Head light\"]","Racquet balance",NULL,"Active",NULL
"Level Racquet","[\"Advanced\",\" Intermediate\",\" Beginner\"]","Racquet level",NULL,"Active",NULL
"Memori RAM","","Computer Data Storage",NULL,"Active",NULL
"Kecepatan Baca","[\"120\"]","Read speed of storage media","MB/s","Active",NULL
"Kapasitas Lemari Es","[\"200\"]","Capacity of refrigerator","Litre","Active",NULL
"Resolusi Cetak","","Resolution of the monitor",NULL,"Active",NULL
"Waktu Respon","[\"5 ms - 10 ms\",\" 5 ms and below\",\" 11 ms - 15 ms\",\" 16 ms and above\"]","Response time of the monitor",NULL,"Active",NULL
"Resolusi Scan","[\"300\"]","Resolution of the scanner",NULL,"Active",NULL
"Tinggi Tempat Duduk","[\"15\",\" 18\"]","Height of motorcycle seat","cm","Active",NULL
"Kapasitas Tempat Duduk","[\"6\",\" 8\",\" 10\"]","Capacity of car seats","Persons","Active",NULL
"Sensitivitas","[\"94\"]","Sensitivity of microphone","dB","Active",NULL
"Jenis Sensor","","Sensor Type of a camera",NULL,"Active",NULL
"Slot SIM","","Number of SIM Slots",NULL,"Active",NULL
"Jenis SIM","[\"Dual\",\" Micro\",\" Nano\",\" Standard\",\" Micro SIM\",\" Nano SIM\",\" Dual SIM\",\" Mini SIM\",\" No SIM\"]","Type of SIM card",NULL,"Active",NULL
"Ukuran","[\"XS\",\" S\",\" M\",\" L\",\" XL\",\" XXL\",\" XXXL\",\" 32A\",\" 32B\",\" 32C\",\" 32D\",\" 34A\",\" 34B\",\" 34C\",\" 34D\",\" 36A\",\" 36B\",\" 36C\",\" 36D\",\" 38A\",\" 38B\",\" 38C\",\" 38D\",\" 40A\",\" 40B\",\" 40C\",\" 40D\",\" 0.5\",\" 1\",\" 1.5\",\" 2\",\" 2.5\",\" 3\",\" 3.5\",\" 4\",\" 4.5\",\" 5\",\" 5.5\",\" 6\",\"","Size of the products",NULL,"Active",NULL
"Standar Ukuran","[\"EU\",\" UK\\/AU\",\" US\",\" Japan\"]","Standard measurement of a product",NULL,"Active",NULL
"Penawaran Software","","Software that a computer offers",NULL,"Active",NULL
"Output Suara","[\"40\"]","Sound output of television","W","Active",NULL
"Fitur Olahraga","[\"Foldable\",\" Portable\",\" Compact\",\" Upright\",\" Heart rate monitor\"]","Features of the sports' products",NULL,"Active",NULL
"Kapasitas Penyimpanan","","The size of a file and a storage device's capacity",NULL,"Active",NULL
"Jenis Penyimpanan","[\"Compact Flash\",\" Memory Stick\",\" Memory Stick Duo\",\" Micro SD\",\" Micro SDHC\",\" Mini SD\",\" MMC\",\" SD\",\" SDHC\",\" SDXC\"]","Type of product's storage",NULL,"Active",NULL
"Tali Jam","","Watch strap material",NULL,"Active",NULL
"Kekuatan Sedot ","","Suction power of the vacumm cleaner",NULL,"Active",NULL
"Sistem Memori","","Computer system storage",NULL,"Active",NULL
"Thread Count","[\"40\"]","Thread count of bedding",NULL,"Active",NULL
"Timer?","[\"Yes\",\" No\"]","Timer of coffee machine",NULL,"Active",NULL
"Touchpad?","[\"Yes\",\" No\"]","Indicates if the device has Touchpad",NULL,"Active",NULL
"Jenis Transmission","[\"Manual Transmission\",\" Automatic Transmission\",\" CVT\",\" DCT\"]","Transmission's type the vehicle have",NULL,"Active",NULL
"Resolusi TV","[\"2160\",\" 4320\",\" 8640\",\" 480\",\" 720\",\" 1080\"]","The number of distinct pixels in each dimension that can be displayed",NULL,"Active",NULL
"Teknologi TV","[\"3D\",\" Smart\",\" 3D Smart\",\" N\\/A\"]","Type of image technology used in the TV",NULL,"Active",NULL
"Jenis AC","[\"Split\",\" Standing\"]","Type of air conditioner",NULL,"Active",NULL
"Jenis Tempat Duduk Mobil","[\"Infant\",\" Convertible\",\" Booster\"]","Type of car seats",NULL,"Active",NULL
"Jenis Case/ Cover","[\"Case\",\" Cover\"]","Indicates if the product is a case or a cover",NULL,"Active",NULL
"Jenis Lighting","[\"LED\",\" Energy saving\",\" Halogen\",\" Flurorescent\",\" Other\"]","Type of lighting",NULL,"Active",NULL
"Jenis Mouse","[\"Wireless\",\" Optical\",\" Laser\",\" Notebook\",\" Wheel\"]","Technology of mouse",NULL,"Active",NULL
"Jenis Baterai","","Type of battery use",NULL,"Active",NULL
"Jenis Cooktop","[\"Electric Cooktop\",\" Gas Cooktop\",\" Multiple Cooktop\",\" Other\"]","Type of cooktops",NULL,"Active",NULL
"Jenis Scanner","[\"Flatbed Scanner\",\" Handheld\\/Portable Scanner\"]","Type of scanner",NULL,"Active",NULL
"Jenis Stroller","[\"Umbrella\",\" Double\",\" Full Size\",\" Travel\",\" Jogging\",\" With Canopy\",\" With Tray\"]","Type of baby strollers",NULL,"Active",NULL
"Jumlah Port USB","[\"1\",\"2\",\"3\",\"4\",\"5\"]","number of USB ports",NULL,"Active",NULL
"USB Support?","[\"Yes\",\" No\"]","Indicates if the device has usb port",NULL,"Active",NULL
"Kendali Volume?","[\"Yes\",\" No\"]","Indicates if volume control is included or not",NULL,"Active",NULL
"Kapasitas Cuci","[\"2\"]","Washing capacity of the washing machine","Kg","Active",NULL
"Fitur Cuci","[\"Automatic Dispenser\",\" Automatic Temperature Control\",\" Cotton\",\" Extra Rinse Cycle\",\" Handwash+Delicates\",\" Large Capacity\",\" Quick Wash\",\" Quiet Operation\",\" Spin Dry\",\" Steam washing\",\" Ultra White\",\" Other\"]","Washing features of the washing machine",NULL,"Active",NULL
"Mode Cuci","[\"Energy Saving\",\" Pump Out\",\" Spin\",\" Short Spin\",\" Starching\",\" Other\"]","Washing modes of the washing machine",NULL,"Active",NULL
"Kapasitas Tangki Air","[\"3\",\" 4\",\" 5\"]","Water tank capacity of coffee machine","Litre","Active",NULL
"Daya","[\"100\"]","An amount of power, especially electric power, expressed in watts","W","Active",NULL
"Ukuran Velg","[\"15\",\" 19\",\" 25\"]","Size rim of wheel","inches","Active",NULL
"Konektivitas Nirkabel","","A wireless network of computer network that uses wireless data connections for connecting network nodes.",NULL,"Active",NULL
"Dengan Grinder?","[\"Yes\",\" No\"]","Indicates if blender comes with a grinder",NULL,"Active",NULL
"Kecepatan Tulis","[\"120\"]","Write speed of storage media","MB/s","Active",NULL
"Select spec","[\"yes\",\"no\",\"sometimes\",\"always\"]","select your fav spec","","Active",NULL
"Check spec","[\"really\",\"omg\",\"surprised\"]","Check spec you want","","Active",NULL
"Text spec",NULL,"Text spec you want","","Active",NULL
"Textarea Spec",NULL,"Textarea Spec you need","","Active",NULL
"Select If Product Ready or Not","[\"ready\",\"no\",\"need confirmation\"]","Select spec If Product Ready or Not","","Active",NULL
"Check Performance speed","[\"slow\",\"middle\",\"fast\",\"excellent\"]","Check if it is slow middle or fast","","Active",NULL
"Select Speed","[\"slow\",\"middle\",\"fast\",\"excellent\"]","Select Speed if slow,middle,fast,excellent","","Active",NULL
"Check performa","[\"lack\",\"good\",\"very good\",\"excellent\"]","Check performa if lack,good,very good,excellent","","Active",NULL
